,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,6,56,games,0.10714285714285714,1.0,0.10714285714285714,44,100,400,1574,0.4510040283203125,0.1935483870967742,0.8928571428571429,0.8928571428571429,0.0
1,TitleWordVec,_games_v3_t49_p98,1,6,games,0.16666666666666666,1.0,0.16666666666666666,94,100,400,1574,0.283003568649292,0.2857142857142857,0.8333333333333334,0.8333333333333334,0.0
2,KNN Basic,_games_v3_t49_p98,5,52,games,0.09615384615384616,1.0,0.09615384615384616,48,100,400,1574,0.3490290641784668,0.17543859649122806,0.9038461538461539,0.9038461538461539,0.0
3,KNN With Means,_games_v3_t49_p98,5,52,games,0.09615384615384616,1.0,0.09615384615384616,48,100,400,1574,0.35699939727783203,0.17543859649122806,0.9038461538461539,0.9038461538461539,0.0
4,KNN With ZScore,_games_v3_t49_p98,5,52,games,0.09615384615384616,1.0,0.09615384615384616,48,100,400,1574,0.37199974060058594,0.17543859649122806,0.9038461538461539,0.9038461538461539,0.0
5,KNN With Means,_games_v3_t49_p98,5,52,games,0.09615384615384616,1.0,0.09615384615384616,48,100,400,1574,0.3449993133544922,0.17543859649122806,0.9038461538461539,0.9038461538461539,0.0
6,Matrix Basic,_games_v3_t49_p98,6,52,games,0.11538461538461539,1.0,0.11538461538461539,48,100,400,1574,0.35500168800354004,0.20689655172413793,0.8846153846153846,0.8846153846153846,0.0
7,SVD Factorization,_games_v3_t49_p98,6,52,games,0.11538461538461539,1.0,0.11538461538461539,48,100,400,1574,0.33600664138793945,0.20689655172413793,0.8846153846153846,0.8846153846153846,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,6,52,games,0.11538461538461539,1.0,0.11538461538461539,48,100,400,1574,0.3419992923736572,0.20689655172413793,0.8846153846153846,0.8846153846153846,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,2,52,games,0.038461538461538464,1.0,0.038461538461538464,48,100,400,1574,0.3599987030029297,0.07407407407407407,0.9615384615384616,0.9615384615384616,0.0
10,Slope One Recommender,_games_v3_t49_p98,5,52,games,0.09615384615384616,1.0,0.09615384615384616,48,100,400,1574,0.3730010986328125,0.17543859649122806,0.9038461538461539,0.9038461538461539,0.0
11,Slope One Recommender,_games_v3_t49_p98,5,52,games,0.09615384615384616,1.0,0.09615384615384616,48,100,400,1574,0.3789985179901123,0.17543859649122806,0.9038461538461539,0.9038461538461539,0.0
12,WordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.15900254249572754,0.8,0.3333333333333333,0.3333333333333333,0.0
13,TitleWordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.11001181602478027,0.8,0.3333333333333333,0.3333333333333333,0.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.02599954605102539,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.026000499725341797,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.038001298904418945,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.02663707733154297,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03500175476074219,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.034000396728515625,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.09800004959106445,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.09400177001953125,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.031999826431274414,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.05800008773803711,,,,
24,WordVec,_movies_v3_t100_p200,0,2,movies,0.0,0.0,0.0,0,2,5,753,0.5159976482391357,0.0,1.0,1.0,0.0
25,TitleWordVec,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.08800053596496582,,,,
26,KNN Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.02099919319152832,,,,
27,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.020999431610107422,,,,
28,KNN With ZScore,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.03800201416015625,,,,
29,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.021999597549438477,,,,
30,Matrix Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.034000396728515625,,,,
31,SVD Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.03499960899353027,,,,
32,SVD PP Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.14800167083740234,,,,
33,NMF Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.05700206756591797,,,,
34,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.03299903869628906,,,,
35,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.069000244140625,,,,
