,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,9,55,games,0.16363636363636364,1.0,0.16363636363636364,45,100,400,1574,0.5152242183685303,0.28125,0.8363636363636363,0.8363636363636363,0.0
1,TitleWordVec,_games_v3_t49_p98,0,2,games,0.0,0.0,0.0,98,100,400,1574,0.32184553146362305,0.0,1.0,1.0,0.0
2,KNN Basic,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.3940455913543701,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
3,KNN With Means,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.33653879165649414,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
4,KNN With ZScore,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.32904911041259766,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
5,KNN With Means,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.32836270332336426,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
6,Matrix Basic,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.33565735816955566,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
7,SVD Factorization,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.3410346508026123,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.34905362129211426,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,5,51,games,0.09803921568627451,1.0,0.09803921568627451,49,100,400,1574,0.35634279251098633,0.17857142857142858,0.9019607843137255,0.9019607843137255,0.0
10,Slope One Recommender,_games_v3_t49_p98,5,51,games,0.09803921568627451,1.0,0.09803921568627451,49,100,400,1574,0.3340013027191162,0.17857142857142858,0.9019607843137255,0.9019607843137255,0.0
11,Slope One Recommender,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.3650021553039551,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
12,WordVec,_books_v3_t45_p90,3,3,books,1.0,1.0,1.0,0,3,8,855,0.16901159286499023,1.0,0.0,0.0,1.0
13,TitleWordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.12000155448913574,0.8,0.3333333333333333,0.3333333333333333,0.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.06599950790405273,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.027999401092529297,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.038155317306518555,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.027999401092529297,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03699970245361328,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03699755668640137,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.10199975967407227,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04300069808959961,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03400015830993652,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.06614255905151367,,,,
24,WordVec,_movies_v3_t25_p50,1,2,movies,0.5,1.0,0.5,0,2,5,2563,1.4615097045898438,0.6666666666666666,0.5,0.5,0.0
25,TitleWordVec,_movies_v3_t25_p50,1,1,movies,1.0,1.0,1.0,1,2,5,2563,0.2393665313720703,1.0,0.0,0.0,
26,KNN Basic,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.03361392021179199,,,,
27,KNN With Means,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.027998685836791992,,,,
28,KNN With ZScore,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.03600311279296875,,,,
29,KNN With Means,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.022011518478393555,,,,
30,Matrix Basic,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.041001319885253906,,,,
31,SVD Factorization,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.04009509086608887,,,,
32,SVD PP Matrix Factorization,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.09450984001159668,,,,
33,NMF Matrix Factorization,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.05900073051452637,,,,
34,Slope One Recommender,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.03699898719787598,,,,
35,Slope One Recommender,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.06299996376037598,,,,
