,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,7,53,games,0.1320754716981132,1.0,0.1320754716981132,47,100,400,1574,0.5005443096160889,0.23333333333333334,0.8679245283018868,0.8679245283018868,0.0
1,TitleWordVec,_games_v3_t49_p98,0,3,games,0.0,0.0,0.0,97,100,400,1574,0.3089735507965088,0.0,1.0,1.0,0.0
2,KNN Basic,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.30428266525268555,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
3,KNN With Means,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.29843616485595703,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
4,KNN With ZScore,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.32857561111450195,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
5,KNN With Means,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.31141185760498047,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
6,Matrix Basic,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.3120088577270508,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
7,SVD Factorization,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.3091411590576172,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,5,49,games,0.10204081632653061,1.0,0.10204081632653061,51,100,400,1574,0.3130011558532715,0.18518518518518517,0.8979591836734694,0.8979591836734694,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,3,49,games,0.061224489795918366,1.0,0.061224489795918366,51,100,400,1574,0.3365304470062256,0.11538461538461539,0.9387755102040817,0.9387755102040817,0.0
10,Slope One Recommender,_games_v3_t49_p98,4,49,games,0.08163265306122448,1.0,0.08163265306122448,51,100,400,1574,0.3030092716217041,0.1509433962264151,0.9183673469387755,0.9183673469387755,0.0
11,Slope One Recommender,_games_v3_t49_p98,3,49,games,0.061224489795918366,1.0,0.061224489795918366,51,100,400,1574,0.3385179042816162,0.11538461538461539,0.9387755102040817,0.9387755102040817,0.0
12,WordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.17499804496765137,0.8,0.3333333333333333,0.3333333333333333,0.0
13,TitleWordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.11900138854980469,0.8,0.3333333333333333,0.3333333333333333,0.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.15857243537902832,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.1085209846496582,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.11200094223022461,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.10200023651123047,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.0989997386932373,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.09799933433532715,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.17050886154174805,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.10399961471557617,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.10351967811584473,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.1289985179901123,,,,
24,WordVec,_movies_v3_t25_p50,1,2,movies,0.5,1.0,0.5,0,2,5,2563,1.4450724124908447,0.6666666666666666,0.5,0.5,0.0
25,TitleWordVec,_movies_v3_t25_p50,2,2,movies,1.0,1.0,1.0,0,2,5,2563,0.24551081657409668,1.0,0.0,0.0,1.0
26,KNN Basic,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.024999380111694336,,,,
27,KNN With Means,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.028622150421142578,,,,
28,KNN With ZScore,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.03499960899353027,,,,
29,KNN With Means,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.023998737335205078,,,,
30,Matrix Basic,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.042999982833862305,,,,
31,SVD Factorization,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.03800010681152344,,,,
32,SVD PP Matrix Factorization,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.09400033950805664,,,,
33,NMF Matrix Factorization,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.0520021915435791,,,,
34,Slope One Recommender,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.03699970245361328,,,,
35,Slope One Recommender,_movies_v3_t25_p50,0,0,movies,,0.0,0.0,2,2,5,2563,0.06099820137023926,,,,
