,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,5,54,games,0.09259259259259259,1.0,0.09259259259259259,46,100,400,1574,0.481997013092041,0.1694915254237288,0.9074074074074074,0.9074074074074074,0.0
1,TitleWordVec,_games_v3_t49_p98,1,6,games,0.16666666666666666,1.0,0.16666666666666666,94,100,400,1574,0.2740049362182617,0.2857142857142857,0.8333333333333334,0.8333333333333334,0.0
2,KNN Basic,_games_v3_t49_p98,2,51,games,0.0392156862745098,1.0,0.0392156862745098,49,100,400,1574,0.30899953842163086,0.07547169811320754,0.9607843137254902,0.9607843137254902,0.0
3,KNN With Means,_games_v3_t49_p98,2,51,games,0.0392156862745098,1.0,0.0392156862745098,49,100,400,1574,0.30100131034851074,0.07547169811320754,0.9607843137254902,0.9607843137254902,0.0
4,KNN With ZScore,_games_v3_t49_p98,2,51,games,0.0392156862745098,1.0,0.0392156862745098,49,100,400,1574,0.3040027618408203,0.07547169811320754,0.9607843137254902,0.9607843137254902,0.0
5,KNN With Means,_games_v3_t49_p98,2,51,games,0.0392156862745098,1.0,0.0392156862745098,49,100,400,1574,0.302001953125,0.07547169811320754,0.9607843137254902,0.9607843137254902,0.0
6,Matrix Basic,_games_v3_t49_p98,3,51,games,0.058823529411764705,1.0,0.058823529411764705,49,100,400,1574,0.3150014877319336,0.1111111111111111,0.9411764705882353,0.9411764705882353,0.0
7,SVD Factorization,_games_v3_t49_p98,3,51,games,0.058823529411764705,1.0,0.058823529411764705,49,100,400,1574,0.3100013732910156,0.1111111111111111,0.9411764705882353,0.9411764705882353,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.3650031089782715,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,4,51,games,0.0784313725490196,1.0,0.0784313725490196,49,100,400,1574,0.3260016441345215,0.14545454545454545,0.9215686274509803,0.9215686274509803,0.0
10,Slope One Recommender,_games_v3_t49_p98,3,51,games,0.058823529411764705,1.0,0.058823529411764705,49,100,400,1574,0.3040013313293457,0.1111111111111111,0.9411764705882353,0.9411764705882353,0.0
11,Slope One Recommender,_games_v3_t49_p98,3,51,games,0.058823529411764705,1.0,0.058823529411764705,49,100,400,1574,0.3360021114349365,0.1111111111111111,0.9411764705882353,0.9411764705882353,0.0
12,WordVec,_books_v3_t45_p90,3,3,books,1.0,1.0,1.0,0,3,8,855,0.15899944305419922,1.0,0.0,0.0,1.0
13,TitleWordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.11200404167175293,0.8,0.3333333333333333,0.3333333333333333,0.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.044545650482177734,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.043996334075927734,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.056006669998168945,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04400372505187988,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.046001434326171875,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04701590538024902,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.12999987602233887,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.05499982833862305,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04700207710266113,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.0780022144317627,,,,
24,WordVec,_movies_v3_t100_p200,1,2,movies,0.5,1.0,0.5,0,2,5,753,0.514998197555542,0.6666666666666666,0.5,0.5,0.0
25,TitleWordVec,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.08814835548400879,,,,
26,KNN Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.018999338150024414,,,,
27,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.01901388168334961,,,,
28,KNN With ZScore,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.03300070762634277,,,,
29,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.020002126693725586,,,,
30,Matrix Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.028003215789794922,,,,
31,SVD Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.028001070022583008,,,,
32,SVD PP Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.08696675300598145,,,,
33,NMF Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.09800100326538086,,,,
34,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.02599811553955078,,,,
35,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.056000709533691406,,,,
