,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,6,61,games,0.09836065573770492,1.0,0.09836065573770492,39,100,400,1574,0.47699761390686035,0.1791044776119403,0.9016393442622951,0.9016393442622951,0.0
1,TitleWordVec,_games_v3_t49_p98,0,6,games,0.0,0.0,0.0,94,100,400,1574,0.29799747467041016,0.0,1.0,1.0,0.0
2,KNN Basic,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.3390014171600342,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
3,KNN With Means,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.33300137519836426,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
4,KNN With ZScore,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.33901095390319824,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
5,KNN With Means,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.33300137519836426,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
6,Matrix Basic,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.34001922607421875,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
7,SVD Factorization,_games_v3_t49_p98,5,55,games,0.09090909090909091,1.0,0.09090909090909091,45,100,400,1574,0.3470001220703125,0.16666666666666666,0.9090909090909091,0.9090909090909091,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,5,55,games,0.09090909090909091,1.0,0.09090909090909091,45,100,400,1574,0.38499999046325684,0.16666666666666666,0.9090909090909091,0.9090909090909091,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.367002010345459,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
10,Slope One Recommender,_games_v3_t49_p98,3,55,games,0.05454545454545454,1.0,0.05454545454545454,45,100,400,1574,0.338029146194458,0.10344827586206896,0.9454545454545454,0.9454545454545454,0.0
11,Slope One Recommender,_games_v3_t49_p98,4,55,games,0.07272727272727272,1.0,0.07272727272727272,45,100,400,1574,0.37600088119506836,0.13559322033898305,0.9272727272727272,0.9272727272727272,0.0
12,WordVec,_books_v3_t45_p90,3,3,books,1.0,1.0,1.0,0,3,8,855,0.16199946403503418,1.0,0.0,0.0,1.0
13,TitleWordVec,_books_v3_t45_p90,3,3,books,1.0,1.0,1.0,0,3,8,855,0.1660010814666748,1.0,0.0,0.0,1.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.05900001525878906,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.05899953842163086,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.07001733779907227,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.06099581718444824,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.0670003890991211,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.06499814987182617,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.13602161407470703,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.07000398635864258,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.06600213050842285,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.08899784088134766,,,,
24,WordVec,_movies_v3_t100_p200,0,2,movies,0.0,0.0,0.0,0,2,5,753,0.5460054874420166,0.0,1.0,1.0,0.0
25,TitleWordVec,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.08918523788452148,,,,
26,KNN Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.017001628875732422,,,,
27,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.01700282096862793,,,,
28,KNN With ZScore,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.031998395919799805,,,,
29,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.01799631118774414,,,,
30,Matrix Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.027001380920410156,,,,
31,SVD Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.026998519897460938,,,,
32,SVD PP Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.0930032730102539,,,,
33,NMF Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.04699563980102539,,,,
34,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.026999711990356445,,,,
35,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.05800056457519531,,,,
